"recurso";"tipo";"cantidad";"traducible";"contexto";"espanol";"ingles";"aleman";"frances";"italiano";"portugues_portugal";"notas"
"app_name";"string";"";"no";"Nombre comercial visible de la aplicación";"Nolvida";"Nolvida";"Nolvida";"Nolvida";"Nolvida";"Nolvida";"Marca no traducible; sustituye Pensieve solo en textos visibles"
"reminder_notification_channel_description";"string";"";"si";"Descripción del canal de recordatorios activos";"Muestra los recordatorios pendientes de Nolvida";"Shows pending Nolvida reminders";"Zeigt ausstehende Nolvida-Erinnerungen";"Affiche les rappels Nolvida en attente";"Mostra i promemoria Nolvida in sospeso";"Mostra os lembretes pendentes na aplicação Nolvida";"Recurso existente modificado por el cambio de marca"
"voice_capture_notification_channel_description";"string";"";"si";"Descripción del canal temporal de captura de voz";"Indica cuándo Nolvida está escuchando";"Shows when Nolvida is listening";"Zeigt an, wenn Nolvida zuhört";"Indique quand Nolvida écoute";"Indica quando Nolvida è in ascolto";"Indica quando Nolvida está a ouvir";"Recurso existente modificado por el cambio de marca"
"widget_voice_capture_name";"string";"";"si";"Nombre del widget mostrado por el selector de Android";"Nolvida: grabar voz";"Nolvida: record voice";"Nolvida: Sprache aufnehmen";"Nolvida : enregistrer la voix";"Nolvida: registra voce";"Nolvida: gravar voz";"Recurso existente modificado por el cambio de marca"
"notification_permission_denied";"string";"";"si";"Explicación visible cuando no se permiten notificaciones";"Permite las notificaciones para mantener este recordatorio visible aunque cierres Nolvida.";"Allow notifications to keep this reminder visible even when you close Nolvida.";"Erlaube Benachrichtigungen, damit diese Erinnerung auch nach dem Schließen von Nolvida sichtbar bleibt.";"Autorisez les notifications pour que ce rappel reste visible après la fermeture de Nolvida.";"Consenti le notifiche per mantenere visibile questo promemoria anche dopo aver chiuso Nolvida.";"Permite as notificações para manter este lembrete visível mesmo depois de fechar a Nolvida.";"Recurso existente modificado por el cambio de marca; portugués revisado en 10.9"
"onboarding_capture_title";"string";"";"si";"Título de la primera página del onboarding";"Sácalo de tu cabeza";"Get it out of your head";"Raus aus dem Kopf";"Sortez-le de votre tête";"Toglilo dalla testa";"Tira-o da cabeça";"Tono directo y cotidiano"
"onboarding_capture_body";"string";"";"si";"Resumen del flujo principal en la primera página";"Escribe o dicta un recado. Nolvida lo mantendrá visible hasta que pulses Hecho.";"Type or dictate a note. Nolvida will keep it visible until you tap Done.";"Schreibe oder diktiere eine Notiz. Nolvida hält sie sichtbar, bis du auf Erledigt tippst.";"Écrivez ou dictez un rappel. Nolvida le gardera visible jusqu’à ce que vous appuyiez sur Terminé.";"Scrivi o detta un promemoria. Nolvida lo manterrà visibile finché non tocchi Fatto.";"Escreve ou dita um lembrete. Nolvida mantém-no visível até tocares em Concluído.";"No prometer alarmas, fechas ni sincronización"
"onboarding_visibility_title";"string";"";"si";"Título de la tarjeta informativa de la primera página";"Siempre a la vista";"Always visible";"Immer sichtbar";"Toujours visible";"Sempre visibile";"Sempre visível";""
"onboarding_visibility_body";"string";"";"si";"Explicación de la persistencia en notificaciones";"Tus recordatorios aparecen en la barra de notificaciones hasta que pulses Hecho.";"Your reminders stay in the notification shade until you tap Done.";"Deine Erinnerungen bleiben in der Benachrichtigungsleiste, bis du auf Erledigt tippst.";"Vos rappels restent dans le volet des notifications jusqu’à ce que vous appuyiez sur Terminé.";"I tuoi promemoria restano nell’area delle notifiche finché non tocchi Fatto.";"Os teus lembretes permanecem na barra de notificações até tocares em Concluído.";""
"onboarding_widget_title";"string";"";"si";"Título de la segunda página del onboarding";"Habla sin abrir Nolvida";"Speak without opening Nolvida";"Sprich, ohne Nolvida zu öffnen";"Parlez sans ouvrir Nolvida";"Parla senza aprire Nolvida";"Fala sem abrir a Nolvida";""
"onboarding_widget_body";"string";"";"si";"Explicación del widget en la segunda página";"Usa el widget para hablar desde la pantalla de inicio. Tu recordatorio se guardará al instante.";"Use the widget to speak from your home screen. Your reminder will be saved instantly.";"Sprich über das Widget auf dem Startbildschirm. Deine Erinnerung wird sofort gespeichert.";"Utilisez le widget pour parler depuis l’écran d’accueil. Votre rappel sera enregistré immédiatement.";"Usa il widget per parlare dalla schermata Home. Il tuo promemoria verrà salvato subito.";"Usa o widget para falar a partir do ecrã inicial. O teu lembrete será guardado de imediato.";"No usar «desde cualquier pantalla»"
"onboarding_widget_setup_title";"string";"";"si";"Título de la tarjeta que explica cómo añadir el widget";"Añade el widget";"Add the widget";"Widget hinzufügen";"Ajoutez le widget";"Aggiungi il widget";"Adiciona o widget";""
